,nombre,marca,precio,color,talla,categoria
0,vestido midi plateado con cuello halter de lentejuelas de mango,Mango,133.0,silver,S,midi
1,vestido midi plateado con cuello halter de lentejuelas de mango,Mango,133.0,silver,M,midi
2,vestido midi plateado con cuello halter de lentejuelas de mango,Mango,133.0,silver,L,midi
3,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,black,XS,midi
4,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,black,S,midi
5,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,black,M,midi
6,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,black,L,midi
7,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,black,XL,midi
8,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,pink,XS,largo
9,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,pink,S,largo
10,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,pink,M,largo
11,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,pink,L,largo
12,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,mid blue,XS,midi
13,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,mid blue,S,midi
14,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,mid blue,M,midi
15,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,mid blue,L,midi
16,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,mid blue,XL,midi
17,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,light blue,XS,corto
18,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,light blue,S,corto
19,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,light blue,M,corto
20,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,light blue,L,corto
21,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,cream,XS,
22,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,cream,S,
23,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,cream,M,
24,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,cream,L,
25,vestido corto amarillo con escote palabra de honor de mango,Mango,139.99,yellow,XS,corto
26,vestido corto amarillo con escote palabra de honor de mango,Mango,139.99,yellow,S,corto
