,nombre,marca,precio,color,talla,categoria
0,Mini Vestido Strapless Cascada,Natural by Lila,49.99,sin definir,S,corto
1,Mini Vestido Strapless Cascada,Natural by Lila,49.99,sin definir,M,corto
2,Vestido Asimétrico Choker Lurex,Natural by Lila,39.99,sin definir,S,corto
3,Vestido Asimétrico Choker Lurex,Natural by Lila,39.99,sin definir,M,corto
4,Vestido Básico Bella,Natural by Lila,36.99,sin definir,S,corto
5,Vestido Básico Bella,Natural by Lila,36.99,sin definir,M,corto
6,Vestido Brigitte Lentejuelas,Natural by Lila,49.99,sin definir,S,corto
7,Vestido Brigitte Lentejuelas,Natural by Lila,49.99,sin definir,M,corto
8,Vestido Corto Balconette,Natural by Lila,39.99,sin definir,S,corto
9,Vestido Corto Balconette,Natural by Lila,39.99,sin definir,M,corto
10,Vestido Mini Halter Vera,Natural by Lila,39.99,sin definir,S,corto
11,Vestido Mini Halter Vera,Natural by Lila,39.99,sin definir,M,corto
12,Vestido Tirantes Escote Asimétrico,Natural by Lila,39.99,sin definir,S,corto
13,Vestido Tirantes Escote Asimétrico,Natural by Lila,39.99,sin definir,M,corto
14,Vestido Corto Hombros Cutout,Natural by Lila,39.95,sin definir,S,corto
15,Vestido Corto Hombros Cutout,Natural by Lila,39.95,sin definir,M,corto
16,Vestido Olivia,Natural by Lila,39.95,sin definir,S,corto
17,Vestido Olivia,Natural by Lila,39.95,sin definir,M,corto
18,Vestido Silvy,Natural by Lila,36.95,sin definir,S,corto
19,Vestido Silvy,Natural by Lila,36.95,sin definir,M,corto
20,Vestido Corto Estampado Hombreras,Natural by Lila,39.95,sin definir,S,corto
21,Vestido Corto Estampado Hombreras,Natural by Lila,39.95,sin definir,M,corto
22,Vestido Evasé Olas,Natural by Lila,39.95,sin definir,S,corto
23,Vestido Fluido Leopardo,Natural by Lila,39.95,sin definir,S,corto
24,Vestido Fluido Leopardo,Natural by Lila,39.95,sin definir,M,corto
25,Vestido Punto Canalé Bardot,Natural by Lila,39.95,sin definir,S,corto
26,Vestido Punto Canalé Bardot,Natural by Lila,39.95,sin definir,M,corto
27,Vestido Corto Halter Étnico,Natural by Lila,39.95,sin definir,S,corto
28,Vestido Corto Halter Étnico,Natural by Lila,39.95,sin definir,M,corto
29,Vestido Monroe Raso,Natural by Lila,29.95,sin definir,S,corto
30,Vestido Monroe Raso,Natural by Lila,29.95,sin definir,M,corto
31,Vestido Asimétrico Lurex,Natural by Lila,32.99,sin definir,S,corto
32,Vestido Marilyn,Natural by Lila,29.95,sin definir,S,corto
33,Vestido Marilyn,Natural by Lila,29.95,sin definir,M,corto
34,Vestido Mini Cascada Glitter,Natural by Lila,39.95,sin definir,S,corto
35,Vestido Mini Cascada Glitter,Natural by Lila,39.95,sin definir,M,corto
36,Vestido Asimétrico Glitter Choker,Natural by Lila,44.95,sin definir,S,corto
37,Vestido Asimétrico Glitter Choker,Natural by Lila,44.95,sin definir,M,corto
38,Vestido Bardot Glitter,Natural by Lila,49.95,sin definir,S,corto
39,Vestido Bardot Glitter,Natural by Lila,49.95,sin definir,M,corto
40,Vestido Choker Velvet Corto,Natural by Lila,29.95,sin definir,S,corto
41,Vestido Choker Velvet Corto,Natural by Lila,29.95,sin definir,M,corto
42,Vestido Evasé Lazo,Natural by Lila,44.95,sin definir,S,corto
43,Vestido Evasé Lazo,Natural by Lila,44.95,sin definir,M,corto
44,Vestido Glitter Choker Cascada,Natural by Lila,34.95,sin definir,S,corto
45,Vestido Glitter Choker Cascada,Natural by Lila,34.95,sin definir,M,corto
46,Vestido Tulle Topos con Manguitos,Natural by Lila,29.95,sin definir,S,corto
47,Vestido Tulle Topos con Manguitos,Natural by Lila,29.95,sin definir,M,corto
48,Vestido Lentejuelas Alas,Natural by Lila,44.95,sin definir,S,corto
49,Vestido Lentejuelas Alas,Natural by Lila,44.95,sin definir,M,corto
50,Vestido Glitter Halter Sweet,Natural by Lila,39.95,sin definir,S,corto
51,Vestido Glitter Halter Sweet,Natural by Lila,39.95,sin definir,M,corto
52,Vestido Glitter Diva,Natural by Lila,34.95,sin definir,S,corto
53,Vestido Glitter Diva,Natural by Lila,34.95,sin definir,M,corto
54,Vestido Asimétrico Lentejuelas,Natural by Lila,39.95,sin definir,S,corto
55,Vestido Asimétrico Lentejuelas,Natural by Lila,39.95,sin definir,M,corto
56,Vestido Abierto Manga Larga,Natural by Lila,29.95,sin definir,S,corto
57,Vestido Abierto Manga Larga,Natural by Lila,29.95,sin definir,M,corto
58,Vestido Asimétrico Cutout Velvet Purpurina,Natural by Lila,36.95,sin definir,S,corto
59,Vestido Asimétrico Cutout Velvet Purpurina,Natural by Lila,36.95,sin definir,M,corto
60,Vestido Asimétrico Metalizado,Natural by Lila,29.95,sin definir,S,corto
61,Vestido Asimétrico Metalizado,Natural by Lila,29.95,sin definir,M,corto
62,Vestido Corsé Terciopelo,Natural by Lila,36.95,sin definir,S,corto
63,Vestido Corsé Terciopelo,Natural by Lila,36.95,sin definir,M,corto
64,Vestido Lurex Arandela,Natural by Lila,29.95,sin definir,S,corto
65,Vestido Lurex Arandela,Natural by Lila,29.95,sin definir,M,corto
66,Vestido Mini Lurex,Natural by Lila,29.95,sin definir,S,corto
67,Vestido Mini Lurex,Natural by Lila,29.95,sin definir,M,corto
68,Vestido Strass Espalda Cruzada,Natural by Lila,39.95,sin definir,S,corto
69,Vestido Strass Espalda Cruzada,Natural by Lila,39.95,sin definir,M,corto
70,Vestido Corto Corsé Raso,Natural by Lila,36.95,sin definir,S,corto
71,Vestido Corto Corsé Raso,Natural by Lila,36.95,sin definir,M,corto
72,Vestido Tul Mia,Natural by Lila,39.95,sin definir,S,corto
73,Vestido Tul Mia,Natural by Lila,39.95,sin definir,M,corto
74,Vestido Mini Halter Lurex,Natural by Lila,29.95,sin definir,S,corto
75,Vestido Mini Halter Lurex,Natural by Lila,29.95,sin definir,M,corto
76,Vestido Sandy Raso,Natural by Lila,29.95,sin definir,S,corto
77,Vestido Sandy Raso,Natural by Lila,29.95,sin definir,M,corto
78,Vestido Cut Out Lentejuelas,Natural by Lila,39.95,sin definir,S,corto
79,Vestido Cut Out Lentejuelas,Natural by Lila,39.95,sin definir,M,corto
80,Vestido Marilyn Lurex,Natural by Lila,29.95,sin definir,S,corto
