,nombre,marca,precio,color,talla,stock,categoria
1,sequin christmas tree dress,2,28.0,verde/rojo,S,39.0,4
5,sequin christmas tree dress,2,28.0,verde,XS,116.0,4
6,sequin christmas tree dress,2,28.0,verde,S,269.0,4
7,sequin christmas tree dress,2,28.0,verde,M,232.0,4
8,sequin christmas tree dress,2,28.0,verde,L,153.0,4
9,sequin christmas tree dress,2,28.0,verde,XL,116.0,4
10,sequin mini dress,2,28.0,plata,XS,86.0,3
11,sequin mini dress,2,28.0,plata,S,215.0,3
12,sequin mini dress,2,28.0,plata,M,215.0,3
13,sequin mini dress,2,28.0,plata,L,129.0,3
14,sequin mini dress,2,28.0,plata,XL,86.0,3
15,sequin mini dress,2,28.0,plata,XXL,43.0,3
16,sequin mini dress,2,28.0,negro,XS,100.0,3
17,sequin mini dress,2,28.0,negro,S,229.0,3
18,sequin mini dress,2,28.0,negro,M,250.0,3
19,sequin mini dress,2,28.0,negro,L,150.0,3
20,sequin mini dress,2,28.0,negro,XL,100.0,3
21,sequin mini dress,2,28.0,negro,XXL,50.0,3
22,chiffon smocked peasant-sleeve mini dress,2,44.99,beige,XS,32.0,3
23,chiffon smocked peasant-sleeve mini dress,2,44.99,beige,S,96.0,3
24,chiffon smocked peasant-sleeve mini dress,2,44.99,beige,M,83.0,3
25,chiffon smocked peasant-sleeve mini dress,2,44.99,beige,L,46.0,3
26,chiffon smocked peasant-sleeve mini dress,2,44.99,beige,XL,38.0,3
27,chiffon smocked peasant-sleeve mini dress,2,44.99,negro,XS,52.0,3
28,chiffon smocked peasant-sleeve mini dress,2,44.99,negro,S,122.0,3
29,chiffon smocked peasant-sleeve mini dress,2,44.99,negro,M,106.0,3
30,chiffon smocked peasant-sleeve mini dress,2,44.99,negro,L,71.0,3
31,chiffon smocked peasant-sleeve mini dress,2,44.99,negro,XL,53.0,3
32,seamless half-zip mock neck romper,2,24.99,negro,S,380.0,4
33,seamless half-zip mock neck romper,2,24.99,negro,M,232.0,4
34,seamless half-zip mock neck romper,2,24.99,negro,L,95.0,4
35,seamless half-zip mock neck romper,2,24.99,topo,S,108.0,4
36,seamless half-zip mock neck romper,2,24.99,topo,M,62.0,4
37,seamless half-zip mock neck romper,2,24.99,topo,L,30.0,4
38,seamless half-zip mock neck romper,2,24.99,rojo,S,59.0,4
39,seamless half-zip mock neck romper,2,24.99,rojo,M,37.0,4
40,seamless half-zip mock neck romper,2,24.99,rojo,L,20.0,4
41,fair isle mini sweater dress,2,34.99,rojo,S,252.0,3
42,fair isle mini sweater dress,2,34.99,rojo,M,252.0,3
43,fair isle mini sweater dress,2,34.99,rojo,L,252.0,3
44,fair isle mini sweater dress,2,34.99,rojo,XL,252.0,3
45,sequin santa crop top & skirt set,2,34.99,rojo,S,107.0,4
46,sequin santa crop top & skirt set,2,34.99,rojo,M,216.0,4
47,sequin santa crop top & skirt set,2,34.99,rojo,L,216.0,4
48,sequin santa crop top & skirt set,2,34.99,rojo,XL,108.0,4
49,hooded striped santa mini dress,2,34.99,rojo,S,204.0,3
50,hooded striped santa mini dress,2,34.99,rojo,M,204.0,3
51,hooded striped santa mini dress,2,34.99,rojo,L,204.0,3
52,plunging surplice lace mini dress,2,29.99,negro,XS,87.0,3
53,plunging surplice lace mini dress,2,29.99,negro,S,200.0,3
54,plunging surplice lace mini dress,2,29.99,negro,M,174.0,3
55,plunging surplice lace mini dress,2,29.99,negro,L,116.0,3
56,plunging surplice lace mini dress,2,29.99,negro,XL,87.0,3
57,plunging surplice lace mini dress,2,29.99,granate,XS,54.0,3
58,plunging surplice lace mini dress,2,29.99,granate,S,123.0,3
59,plunging surplice lace mini dress,2,29.99,granate,M,108.0,3
60,plunging surplice lace mini dress,2,29.99,granate,L,72.0,3
61,plunging surplice lace mini dress,2,29.99,granate,XL,54.0,3
62,strapless bubble-hem mini dress,2,29.99,negro,XS,48.0,3
63,strapless bubble-hem mini dress,2,29.99,negro,S,108.0,3
64,strapless bubble-hem mini dress,2,29.99,negro,M,96.0,3
65,strapless bubble-hem mini dress,2,29.99,negro,L,64.0,3
66,strapless bubble-hem mini dress,2,29.99,negro,XL,48.0,3
67,rosette tank mini dress,2,29.99,negro,XS,37.0,3
68,rosette tank mini dress,2,29.99,negro,S,103.0,3
69,rosette tank mini dress,2,29.99,negro,M,89.0,3
70,rosette tank mini dress,2,29.99,negro,L,63.0,3
71,rosette tank mini dress,2,29.99,negro,XL,47.0,3
72,bodycon mini sweater dress,2,34.99,negro,XS,64.0,3
73,bodycon mini sweater dress,2,34.99,negro,S,210.0,3
74,bodycon mini sweater dress,2,34.99,negro,M,156.0,3
75,bodycon mini sweater dress,2,34.99,negro,L,127.0,3
76,bodycon mini sweater dress,2,34.99,negro,XL,101.0,3
82,bodycon mini sweater dress,2,34.99,beige,XS,75.0,3
83,bodycon mini sweater dress,2,34.99,beige,S,184.0,3
