,nombre,marca,precio,color,talla,categoria
0,sequin christmas tree dress,Forever21,28.0,verde/rojo,XS,
1,sequin christmas tree dress,Forever21,28.0,verde/rojo,S,
2,sequin christmas tree dress,Forever21,28.0,verde/rojo,M,
3,sequin christmas tree dress,Forever21,28.0,verde/rojo,L,
4,sequin christmas tree dress,Forever21,28.0,verde/rojo,XL,
5,sequin christmas tree dress,Forever21,28.0,verde,XS,
6,sequin christmas tree dress,Forever21,28.0,verde,S,
7,sequin christmas tree dress,Forever21,28.0,verde,M,
8,sequin christmas tree dress,Forever21,28.0,verde,L,
9,sequin christmas tree dress,Forever21,28.0,verde,XL,
10,sequin mini dress,Forever21,28.0,plata,XS,mini
11,sequin mini dress,Forever21,28.0,plata,S,mini
12,sequin mini dress,Forever21,28.0,plata,M,mini
13,sequin mini dress,Forever21,28.0,plata,L,mini
14,sequin mini dress,Forever21,28.0,plata,XL,mini
15,sequin mini dress,Forever21,28.0,plata,XXL,mini
16,sequin mini dress,Forever21,28.0,negro,XS,mini
17,sequin mini dress,Forever21,28.0,negro,S,mini
18,sequin mini dress,Forever21,28.0,negro,M,mini
19,sequin mini dress,Forever21,28.0,negro,L,mini
20,sequin mini dress,Forever21,28.0,negro,XL,mini
21,sequin mini dress,Forever21,28.0,negro,XXL,mini
22,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,beige,XS,mini
23,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,beige,S,mini
24,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,beige,M,mini
25,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,beige,L,mini
26,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,beige,XL,mini
27,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,negro,XS,mini
28,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,negro,S,mini
29,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,negro,M,mini
30,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,negro,L,mini
31,chiffon smocked peasant-sleeve mini dress,Forever21,44.99,negro,XL,mini
32,seamless half-zip mock neck romper,Forever21,24.99,negro,S,
33,seamless half-zip mock neck romper,Forever21,24.99,negro,M,
34,seamless half-zip mock neck romper,Forever21,24.99,negro,L,
35,seamless half-zip mock neck romper,Forever21,24.99,topo,S,
36,seamless half-zip mock neck romper,Forever21,24.99,topo,M,
37,seamless half-zip mock neck romper,Forever21,24.99,topo,L,
38,seamless half-zip mock neck romper,Forever21,24.99,rojo,S,
39,seamless half-zip mock neck romper,Forever21,24.99,rojo,M,
40,seamless half-zip mock neck romper,Forever21,24.99,rojo,L,
41,fair isle mini sweater dress,Forever21,34.99,rojo,S,mini
42,fair isle mini sweater dress,Forever21,34.99,rojo,M,mini
43,fair isle mini sweater dress,Forever21,34.99,rojo,L,mini
