,nombre,marca,precio,color,talla,disponible,categoria
0,vestido midi plateado con cuello halter de lentejuelas de mango,Mango,133.0,plata,S,True,midi
1,vestido midi plateado con cuello halter de lentejuelas de mango,Mango,133.0,plata,M,True,midi
2,vestido midi plateado con cuello halter de lentejuelas de mango,Mango,133.0,plata,L,True,midi
3,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,negro,XS,True,midi
4,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,negro,S,True,midi
5,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,negro,M,True,midi
6,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,negro,L,True,midi
7,vestido midi negro con estampado floral y abertura hasta el muslo de mango,Mango,129.99,negro,XL,True,midi
8,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,rosa,XS,True,largo
9,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,rosa,S,True,largo
10,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,rosa,M,True,largo
11,vestido largo rosa con cuello desbocado de terciopelo devoré de mango,Mango,139.99,rosa,L,True,largo
12,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,azul,XS,True,midi
13,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,azul,S,True,midi
14,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,azul,M,True,midi
15,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,azul,L,True,midi
16,vestido midi azul a rayas con escote bardot de mango,Mango,110.0,azul,XL,True,midi
17,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,azul,XS,True,corto
18,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,azul,S,True,corto
19,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,azul,M,True,corto
20,vestido corto azul claro con detalle de lazada y diseño de doble capa selection de mango,Mango,139.99,azul,L,True,corto
21,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,crema,XS,True,
22,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,crema,S,True,
23,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,crema,M,True,
24,vestido color crema con bajo asimétrico y detalles de croché selection de mango,Mango,199.99,crema,L,True,
25,vestido corto amarillo con escote palabra de honor de mango,Mango,139.99,amarillo,XS,True,corto
26,vestido corto amarillo con escote palabra de honor de mango,Mango,139.99,amarillo,S,True,corto
27,vestido corto amarillo con escote palabra de honor de mango,Mango,139.99,amarillo,M,True,corto
28,vestido corto amarillo con escote palabra de honor de mango,Mango,139.99,amarillo,L,True,corto
29,vestido playero midi plateado de croché de mango,Mango,99.99,plata,S,True,midi
30,vestido playero midi plateado de croché de mango,Mango,99.99,plata,M,True,midi
31,vestido playero midi plateado de croché de mango,Mango,99.99,plata,L,True,midi
32,vestido largo blanco de croché con flores bordadas de mango x siedrés,Mango,249.99,blanco,S,True,largo
33,vestido largo blanco de croché con flores bordadas de mango x siedrés,Mango,249.99,blanco,M,True,largo
34,vestido largo blanco de croché con flores bordadas de mango x siedrés,Mango,249.99,blanco,L,True,largo
35,vestido corto naranja con escote asimétrico de mango,Mango,59.99,naranja,XS,True,corto
36,vestido corto naranja con escote asimétrico de mango,Mango,59.99,naranja,S,True,corto
37,vestido corto naranja con escote asimétrico de mango,Mango,59.99,naranja,M,True,corto
38,vestido corto naranja con escote asimétrico de mango,Mango,59.99,naranja,L,True,corto
39,vestido corto naranja con escote asimétrico de mango,Mango,59.99,naranja,XL,True,corto
40,vestido midi morado a cuadros variados de mango,Mango,99.99,morado,XS,True,midi
41,vestido midi morado a cuadros variados de mango,Mango,99.99,morado,S,True,midi
42,vestido midi morado a cuadros variados de mango,Mango,99.99,morado,M,True,midi
43,vestido midi morado a cuadros variados de mango,Mango,99.99,morado,L,True,midi
44,vestido midi marrón de tirantes con estampado de leopardo de mango,Mango,59.99,marrón,XS,True,midi
45,vestido midi marrón de tirantes con estampado de leopardo de mango,Mango,59.99,marrón,S,True,midi
46,vestido midi marrón de tirantes con estampado de leopardo de mango,Mango,59.99,marrón,M,True,midi
47,vestido midi marrón de tirantes con estampado de leopardo de mango,Mango,59.99,marrón,L,True,midi
48,vestido midi marrón de tirantes con estampado de leopardo de mango,Mango,59.99,marrón,XL,True,midi
49,vestido corto beis claro con lazada delantera de mezcla de lino de mango,Mango,49.99,beige,XS,True,corto
50,vestido corto beis claro con lazada delantera de mezcla de lino de mango,Mango,49.99,beige,S,True,corto
51,vestido corto beis claro con lazada delantera de mezcla de lino de mango,Mango,49.99,beige,M,True,corto
52,vestido corto beis claro con lazada delantera de mezcla de lino de mango,Mango,49.99,beige,L,True,corto
53,vestido corto beis claro con lazada delantera de mezcla de lino de mango,Mango,49.99,beige,XL,True,corto
54,vestido corto negro con ribete de encaje en el cuello de mango,Mango,49.99,negro,XS,True,corto
55,vestido corto negro con ribete de encaje en el cuello de mango,Mango,49.99,negro,S,True,corto
56,vestido corto negro con ribete de encaje en el cuello de mango,Mango,49.99,negro,M,True,corto
57,vestido corto negro con ribete de encaje en el cuello de mango,Mango,49.99,negro,L,True,corto
58,vestido corto negro con ribete de encaje en el cuello de mango,Mango,49.99,negro,XL,True,corto
